NUTSID,NUTSName,Year,CDUCSU,SPD,B90GR,PDS,FDP,REP,BFB,Graue,DP,APD,STATT,PASS,BP,Forum,PBC,Natur,DSU,NPD,CM,CL,Autonome,BSo,PEAD,BSA,FAMILIE,Other,Electorate,Votes,Validvotes,Invalidvotes
DEF0C,Schleswig-Flensburg,1994,32283,27186,7253,323,2413,1002,903,556,226,418,279,95,52,51,143,255,58,124,90,42,88,36,8,32,0,2553,142665,74715,73916,799
DEF0D,Segeberg,1994,38379,29115,10968,605,3984,1939,1223,755,317,638,1084,127,82,117,202,278,59,202,161,49,95,46,17,32,0,4261,180242,91471,90474,997
DEF0E,Steinburg,1994,22370,19284,5424,211,1683,1014,475,318,141,297,245,79,41,31,146,145,40,144,92,34,65,36,16,18,0,1888,103372,53138,52349,789
DEF0F,Stormarn,1994,36570,28102,12550,589,4111,1952,1477,774,536,541,977,80,89,116,123,258,59,121,120,43,83,27,11,34,0,3992,162833,90356,89343,1013
DEG01,"Erfurt, Kreisfreie Stadt",1994,29977,26709,9043,24143,3004,1920,1175,1231,684,904,750,791,105,2491,137,366,624,239,59,119,88,132,50,52,0,8822,166266,107297,104793,2504
DEG02,"Gera, Kreisfreie Stadt",1994,17520,14055,3861,16621,1780,1637,675,856,134,747,396,671,78,852,51,246,1117,155,61,74,77,99,44,32,0,5690,99197,63907,61839,2068
DEG03,"Jena, Kreisfreie Stadt",1994,12838,13807,5722,11030,2834,1068,761,545,171,458,410,420,60,1385,67,204,351,126,36,35,98,56,34,21,0,4477,79385,53625,52537,1088
DEG04,"Suhl, Kreisfreie Stadt",1994,7415,6362,1667,8596,877,697,171,221,156,248,93,207,23,1049,19,92,139,58,28,32,34,45,18,7,0,2469,41785,29081,28254,827
DEG05,"Weimar, Kreisfreie Stadt",1994,9610,8273,3775,5624,1365,755,330,419,133,335,233,281,28,995,48,128,175,100,24,38,60,36,18,15,0,3066,48255,33661,32798,863
DEG06,Eichsfeld,1994,36879,12334,2397,6032,2118,1292,229,280,701,407,165,399,36,570,68,111,472,138,102,67,25,26,9,15,0,3591,85120,66612,64872,1740
DEG07,Nordhausen,1994,17761,17272,2838,10478,2005,1460,234,476,106,434,110,392,72,1196,126,171,180,124,33,36,30,49,15,20,0,3570,82257,57415,55618,1797
DEG09,Unstrut-Hainich-Kreis,1994,25842,19960,3289,9190,3113,1817,397,515,129,557,376,512,69,613,74,228,439,211,44,62,29,54,33,19,0,3964,94024,69737,67572,2165
